,city,lat,lng,population
0,Denver,39.7621,-104.8759,2876625
1,Colorado Springs,38.8674,-104.7606,642413
2,Aurora,39.7087,-104.7273,379289
3,Fort Collins,40.5478,-105.0656,312666
4,Lakewood,39.6977,-105.1168,157935
5,Pueblo,38.2705,-104.6112,143932
6,Thornton,39.9197,-104.9438,141464
7,Grand Junction,39.0876,-108.5673,139143
8,Greeley,40.4151,-104.7706,137810
9,Boulder,40.0249,-105.2523,124345
10,Arvada,39.8321,-105.1511,121272
11,Westminster,39.8837,-105.0624,113166
12,Centennial,39.5926,-104.8674,110937
13,Highlands Ranch,39.5419,-104.9708,105631
14,Longmont,40.1686,-105.1005,102474
15,Lafayette,39.9949,-105.0997,99645
16,Loveland,40.4166,-105.0623,78877
17,Broomfield,39.9541,-105.0527,70465
18,Castle Rock,39.3763,-104.8535,68484
19,Commerce City,39.8642,-104.8434,60336
